"","SYMBOL","EX","PRICE","SIZE","COND","CORR","G127"
"2008-01-04 09:31:44","XXX","N","192.47","250","E","0","0"
"2008-01-04 09:31:45","XXX","N","192.48","100","E","0","0"
"2008-01-04 09:31:46","XXX","N","192.43","150","E","0","0"
"2008-01-04 09:31:47","XXX","N","192.33","150","E","0","0"
"2008-01-04 09:31:48","XXX","N","192.43","50","E","0","0"
"2008-01-04 09:31:52","XXX","N","192.4","50","E","0","0"
"2008-01-04 09:31:55","XXX","N","192.4","50","F","0","0"
"2008-01-04 09:32:01","XXX","N","192.4","50","E","0","0"
"2008-01-04 09:32:02","XXX","N","192.38","300","E","0","0"
"2008-01-04 09:32:04","XXX","N","192.36","50","E","0","0"
"2008-01-04 09:32:05","XXX","N","192.36","100","E","0","0"
"2008-01-04 09:32:06","XXX","N","192.63","100","E","0","0"
"2008-01-04 09:32:08","XXX","N","192.365","300","E","0","0"
"2008-01-04 09:32:09","XXX","N","192.33","150","E","0","0"
"2008-01-04 09:32:10","XXX","N","192.24","150","E","0","0"
"2008-01-04 09:32:11","XXX","N","192.36","350","F","0","0"
"2008-01-04 09:32:12","XXX","N","192.36","1600","E","0","0"
"2008-01-04 09:32:13","XXX","N","192.33","400","E","0","0"
"2008-01-04 09:32:15","XXX","N","192.36","200","E","0","0"
"2008-01-04 09:32:16","XXX","N","192.19","500","E","0","0"
"2008-01-04 09:32:17","XXX","N","192.18","800","E","0","0"
"2008-01-04 09:32:18","XXX","N","192.1","1100","E","0","0"
"2008-01-04 09:32:19","XXX","N","192.07","1900","F","0","0"
"2008-01-04 09:32:20","XXX","N","192.1","1250","E","0","0"
"2008-01-04 09:32:21","XXX","N","192.1","400","E","0","0"
"2008-01-04 09:32:22","XXX","N","192.05","800","E","0","0"
"2008-01-04 09:32:23","XXX","N","192.19","100","E","0","0"
"2008-01-04 09:32:24","XXX","N","192.07","950","E","0","0"
"2008-01-04 09:32:25","XXX","N","192.26","50","E","0","0"
"2008-01-04 09:32:26","XXX","N","192.38","50","F","0","0"
"2008-01-04 09:32:27","XXX","N","192.38","50","E","0","0"
"2008-01-04 09:32:29","XXX","N","192.415","150","F","0","0"
"2008-01-04 09:32:32","XXX","N","192.53","50","E","0","0"
"2008-01-04 09:32:33","XXX","N","192.6","150","F","0","0"
"2008-01-04 09:32:44","XXX","N","192.73","550","E","0","0"
"2008-01-04 09:32:46","XXX","N","192.43","1700","E","0","0"
"2008-01-04 09:32:47","XXX","N","192.48","200","F","0","0"
"2008-01-04 09:32:48","XXX","N","192.67","50","E","0","0"
"2008-01-04 09:32:49","XXX","N","192.71","200","E","0","0"
"2008-01-04 09:32:57","XXX","N","192.69","50","E","0","0"
"2008-01-04 09:32:58","XXX","N","192.795","100","F","0","0"
"2008-01-04 09:33:02","XXX","N","192.83","50","E","0","0"
"2008-01-04 09:33:03","XXX","N","192.86","150","E","0","0"
"2008-01-04 09:33:04","XXX","N","192.79","50","E","0","0"
"2008-01-04 09:33:05","XXX","N","192.83","50","E","0","0"
"2008-01-04 09:33:08","XXX","N","192.79","100","E","0","0"
"2008-01-04 09:33:09","XXX","N","192.86","150","F","0","0"
"2008-01-04 09:33:10","XXX","N","192.86","100","E","0","0"
"2008-01-04 09:33:11","XXX","N","192.95","200","E","0","0"
"2008-01-04 09:33:12","XXX","N","192.81","200","E","0","0"
"2008-01-04 09:33:13","XXX","N","192.86","850","E","0","0"
"2008-01-04 09:33:17","XXX","N","192.765","1350","E","0","0"
"2008-01-04 09:33:18","XXX","N","192.91","850","E","0","0"
"2008-01-04 09:33:19","XXX","N","192.9","50","E","0","0"
"2008-01-04 09:33:20","XXX","N","192.85","50","E","0","0"
"2008-01-04 09:33:32","XXX","N","193.07","100","E","0","0"
"2008-01-04 09:33:36","XXX","N","192.99","50","E","0","0"
"2008-01-04 09:33:39","XXX","N","193.07","100","E","0","0"
"2008-01-04 09:33:41","XXX","N","192.99","800","E","0","0"
"2008-01-04 09:33:44","XXX","N","193.09","450","E","0","0"
"2008-01-04 09:33:46","XXX","N","193.115","500","E","0","0"
"2008-01-04 09:33:47","XXX","N","193.04","900","E","0","0"
"2008-01-04 09:33:48","XXX","N","192.97","950","E","0","0"
"2008-01-04 09:33:49","XXX","N","193.11","500","E","0","0"
"2008-01-04 09:33:50","XXX","N","193.21","500","E","0","0"
"2008-01-04 09:33:51","XXX","N","193.21","850","E","0","0"
"2008-01-04 09:33:52","XXX","N","193.315","100","E","0","0"
"2008-01-04 09:33:53","XXX","N","193.4","750","E","0","0"
"2008-01-04 09:33:57","XXX","N","193.355","100","E","0","0"
"2008-01-04 09:33:59","XXX","N","193.33","100","E","0","0"
"2008-01-04 09:34:00","XXX","N","193.33","50","E","0","0"
"2008-01-04 09:34:01","XXX","N","193.31","550","E","0","0"
"2008-01-04 09:34:02","XXX","N","193.31","50","E","0","0"
"2008-01-04 09:34:04","XXX","N","193.3","50","E","0","0"
"2008-01-04 09:34:10","XXX","N","193.38","150","E","0","0"
"2008-01-04 09:34:12","XXX","N","193.54","500","E","0","0"
"2008-01-04 09:34:13","XXX","N","193.54","500","E","0","0"
"2008-01-04 09:34:15","XXX","N","193.52","50","E","0","0"
"2008-01-04 09:34:16","XXX","N","193.47","800","E","0","0"
"2008-01-04 09:34:17","XXX","N","193.38","1050","E","0","0"
"2008-01-04 09:34:18","XXX","N","193.42","900","E","0","0"
"2008-01-04 09:34:19","XXX","N","193.45","50","E","0","0"
"2008-01-04 09:34:25","XXX","N","193.57","550","E","0","0"
"2008-01-04 09:34:29","XXX","N","193.57","950","E","0","0"
"2008-01-04 09:34:30","XXX","N","193.57","50","E","0","0"
"2008-01-04 09:34:32","XXX","N","193.56","450","E","0","0"
"2008-01-04 09:34:35","XXX","N","193.57","50","E","0","0"
"2008-01-04 09:34:36","XXX","N","193.57","100","E","0","0"
"2008-01-04 09:34:40","XXX","N","193.59","100","E","0","0"
"2008-01-04 09:34:45","XXX","N","193.64","100","E","0","0"
"2008-01-04 09:34:49","XXX","N","193.78","1800","F","0","0"
"2008-01-04 09:34:51","XXX","N","193.83","50","E","0","0"
"2008-01-04 09:34:52","XXX","N","193.815","100","E","0","0"
"2008-01-04 09:34:53","XXX","N","193.835","350","E","0","0"
"2008-01-04 09:34:54","XXX","N","193.79","200","E","0","0"
"2008-01-04 09:34:56","XXX","N","193.8","100","E","0","0"
"2008-01-04 09:35:00","XXX","N","193.92","50","E","0","0"
"2008-01-04 09:35:02","XXX","N","193.9","150","E","0","0"
"2008-01-04 09:35:04","XXX","N","193.9","150","F","0","0"
"2008-01-04 09:35:05","XXX","N","193.97","50","E","0","0"
"2008-01-04 09:35:07","XXX","N","193.9","250","E","0","0"
"2008-01-04 09:35:08","XXX","N","193.99","50","E","0","0"
"2008-01-04 09:35:09","XXX","N","193.96","150","E","0","0"
"2008-01-04 09:35:10","XXX","N","193.93","250","E","0","0"
"2008-01-04 09:35:11","XXX","N","193.96","50","E","0","0"
"2008-01-04 09:35:12","XXX","N","194.015","100","F","0","0"
"2008-01-04 09:35:16","XXX","N","194.04","650","E","0","0"
"2008-01-04 09:35:17","XXX","N","194.01","550","E","0","0"
"2008-01-04 09:35:18","XXX","N","193.98","400","E","0","0"
"2008-01-04 09:35:21","XXX","N","193.96","50","E","0","0"
"2008-01-04 09:35:22","XXX","N","194","100","E","0","0"
"2008-01-04 09:35:23","XXX","N","194.01","50","E","0","0"
"2008-01-04 09:35:24","XXX","N","194.09","50","E","0","0"
"2008-01-04 09:35:25","XXX","N","194.02","50","E","0","0"
"2008-01-04 09:35:26","XXX","N","194.01","400","E","0","0"
"2008-01-04 09:35:27","XXX","N","194.02","50","E","0","0"
"2008-01-04 09:35:29","XXX","N","194.02","100","E","0","0"
"2008-01-04 09:35:30","XXX","N","194.02","150","E","0","0"
"2008-01-04 09:35:35","XXX","N","194.08","50","F","0","0"
"2008-01-04 09:35:36","XXX","N","194.12","150","E","0","0"
"2008-01-04 09:35:39","XXX","N","194.07","100","E","0","0"
"2008-01-04 09:35:40","XXX","N","194.09","150","E","0","0"
"2008-01-04 09:35:41","XXX","N","194.03","600","E","0","0"
"2008-01-04 09:35:44","XXX","N","194.03","850","E","0","0"
"2008-01-04 09:35:47","XXX","N","194.025","400","E","0","0"
"2008-01-04 09:35:49","XXX","N","193.93","800","E","0","0"
"2008-01-04 09:35:53","XXX","N","193.97","100","E","0","0"
"2008-01-04 09:35:54","XXX","N","194.06","150","E","0","0"
"2008-01-04 09:35:55","XXX","N","194.09","50","E","0","0"
"2008-01-04 09:35:58","XXX","N","194.11","850","E","0","0"
"2008-01-04 09:35:59","XXX","N","194.11","250","E","0","0"
"2008-01-04 09:36:01","XXX","N","194.16","100","E","0","0"
"2008-01-04 09:36:02","XXX","N","194.18","150","E","0","0"
"2008-01-04 09:36:03","XXX","N","194.17","200","E","0","0"
"2008-01-04 09:36:04","XXX","N","194.155","250","E","0","0"
"2008-01-04 09:36:05","XXX","N","194.18","200","E","0","0"
"2008-01-04 09:36:06","XXX","N","194.13","50","E","0","0"
"2008-01-04 09:36:09","XXX","N","194.18","550","E","0","0"
"2008-01-04 09:36:10","XXX","N","194.18","50","E","0","0"
"2008-01-04 09:36:11","XXX","N","194.15","50","E","0","0"
"2008-01-04 09:36:12","XXX","N","194.18","400","E","0","0"
"2008-01-04 09:36:17","XXX","N","194.23","400","E","0","0"
"2008-01-04 09:36:18","XXX","N","194.3","50","E","0","0"
"2008-01-04 09:36:19","XXX","N","194.13","950","E","0","0"
"2008-01-04 09:36:20","XXX","N","194.21","50","E","0","0"
"2008-01-04 09:36:22","XXX","N","194.2","50","E","0","0"
"2008-01-04 09:36:28","XXX","N","194.32","50","E","0","0"
"2008-01-04 09:36:31","XXX","N","194.39","150","E","0","0"
"2008-01-04 09:36:35","XXX","N","194.39","100","E","0","0"
"2008-01-04 09:36:36","XXX","N","194.39","900","E","0","0"
"2008-01-04 09:36:38","XXX","N","194.46","200","E","0","0"
"2008-01-04 09:36:39","XXX","N","194.54","750","E","0","0"
"2008-01-04 09:36:43","XXX","N","194.54","350","E","0","0"
"2008-01-04 09:36:44","XXX","N","194.51","300","E","0","0"
"2008-01-04 09:36:45","XXX","N","194.5","250","E","0","0"
"2008-01-04 09:36:46","XXX","N","194.54","500","E","0","0"
"2008-01-04 09:36:50","XXX","N","194.56","1100","E","0","0"
"2008-01-04 09:36:53","XXX","N","194.6","100","E","0","0"
"2008-01-04 09:36:55","XXX","N","194.51","150","E","0","0"
"2008-01-04 09:37:01","XXX","N","194.725","100","E","0","0"
"2008-01-04 09:37:02","XXX","N","194.5","900","E","0","0"
"2008-01-04 09:37:03","XXX","N","194.53","400","E","0","0"
"2008-01-04 09:37:04","XXX","N","194.53","200","E","0","0"
"2008-01-04 09:37:08","XXX","N","194.54","50","E","0","0"
"2008-01-04 09:37:09","XXX","N","194.56","100","E","0","0"
"2008-01-04 09:37:10","XXX","N","194.56","300","E","0","0"
"2008-01-04 09:37:11","XXX","N","194.53","50","E","0","0"
"2008-01-04 09:37:12","XXX","N","194.56","100","E","0","0"
"2008-01-04 09:37:15","XXX","N","194.52","200","E","0","0"
"2008-01-04 09:37:16","XXX","N","194.49","50","E","0","0"
"2008-01-04 09:37:17","XXX","N","194.49","50","E","0","0"
"2008-01-04 09:37:18","XXX","N","194.48","200","E","0","0"
"2008-01-04 09:37:19","XXX","N","194.41","450","E","0","0"
"2008-01-04 09:37:20","XXX","N","194.49","1650","E","0","0"
"2008-01-04 09:37:21","XXX","N","194.56","550","E","0","0"
"2008-01-04 09:37:22","XXX","N","194.58","50","E","0","0"
"2008-01-04 09:37:23","XXX","N","194.545","950","E","0","0"
"2008-01-04 09:37:24","XXX","N","194.63","150","E","0","0"
"2008-01-04 09:37:25","XXX","N","194.6","200","E","0","0"
"2008-01-04 09:37:26","XXX","N","194.68","150","E","0","0"
"2008-01-04 09:37:30","XXX","N","194.79","200","E","0","0"
"2008-01-04 09:37:31","XXX","N","194.77","100","E","0","0"
"2008-01-04 09:37:32","XXX","N","194.77","50","E","0","0"
"2008-01-04 09:37:33","XXX","N","194.735","100","E","0","0"
"2008-01-04 09:37:34","XXX","N","194.7","900","E","0","0"
"2008-01-04 09:37:36","XXX","N","194.68","50","E","0","0"
"2008-01-04 09:37:37","XXX","N","194.65","300","E","0","0"
"2008-01-04 09:37:38","XXX","N","194.61","50","F","0","0"
"2008-01-04 09:37:41","XXX","N","194.62","200","E","0","0"
"2008-01-04 09:37:42","XXX","N","194.61","50","E","0","0"
"2008-01-04 09:37:43","XXX","N","194.775","100","E","0","0"
"2008-01-04 09:37:44","XXX","N","194.72","50","E","0","0"
"2008-01-04 09:37:46","XXX","N","194.72","150","E","0","0"
"2008-01-04 09:37:47","XXX","N","194.86","550","E","0","0"
"2008-01-04 09:37:50","XXX","N","194.94","950","E","0","0"
"2008-01-04 09:37:51","XXX","N","194.91","150","E","0","0"
"2008-01-04 09:37:52","XXX","N","194.87","150","F","0","0"
"2008-01-04 09:37:53","XXX","N","194.86","50","E","0","0"
"2008-01-04 09:37:54","XXX","N","194.87","100","E","0","0"
"2008-01-04 09:37:57","XXX","N","194.87","50","E","0","0"
"2008-01-04 09:37:58","XXX","N","194.96","150","E","0","0"
"2008-01-04 09:38:01","XXX","N","194.96","250","E","0","0"
"2008-01-04 09:38:05","XXX","N","194.92","50","E","0","0"
"2008-01-04 09:38:09","XXX","N","194.87","100","F","0","0"
"2008-01-04 09:38:11","XXX","N","194.91","150","F","0","0"
"2008-01-04 09:38:13","XXX","N","194.84","250","E","0","0"
"2008-01-04 09:38:14","XXX","N","194.91","50","E","0","0"
"2008-01-04 09:38:15","XXX","N","194.85","350","E","0","0"
"2008-01-04 09:38:16","XXX","N","194.89","150","E","0","0"
"2008-01-04 09:38:18","XXX","N","194.99","50","E","0","0"
"2008-01-04 09:38:21","XXX","N","195.01","1100","F","0","0"
"2008-01-04 09:38:22","XXX","N","194.89","200","E","0","0"
"2008-01-04 09:38:23","XXX","N","194.97","400","E","0","0"
"2008-01-04 09:38:29","XXX","N","195.12","100","F","0","0"
"2008-01-04 09:38:30","XXX","N","195.06","150","E","0","0"
"2008-01-04 09:38:31","XXX","N","195.03","150","E","0","0"
"2008-01-04 09:38:35","XXX","N","195.05","100","E","0","0"
"2008-01-04 09:38:36","XXX","N","194.99","50","E","0","0"
"2008-01-04 09:38:39","XXX","N","194.99","100","E","0","0"
"2008-01-04 09:38:41","XXX","N","195.055","400","E","0","0"
"2008-01-04 09:38:42","XXX","N","194.98","450","E","0","0"
"2008-01-04 09:38:43","XXX","N","194.96","300","F","0","0"
"2008-01-04 09:38:44","XXX","N","195.06","100","E","0","0"
"2008-01-04 09:38:46","XXX","N","195.05","250","F","0","0"
"2008-01-04 09:38:48","XXX","N","195.05","150","E","0","0"
"2008-01-04 09:38:49","XXX","N","195.05","50","F","0","0"
"2008-01-04 09:38:51","XXX","N","194.98","1550","E","0","0"
"2008-01-04 09:38:52","XXX","N","195.05","100","E","0","0"
"2008-01-04 09:38:53","XXX","N","195.1","100","F","0","0"
"2008-01-04 09:38:58","XXX","N","195.08","250","E","0","0"
"2008-01-04 09:39:00","XXX","N","195.15","50","E","0","0"
"2008-01-04 09:39:02","XXX","N","195.1","250","E","0","0"
"2008-01-04 09:39:03","XXX","N","195.1","400","E","0","0"
"2008-01-04 09:39:04","XXX","N","195.03","150","E","0","0"
"2008-01-04 09:39:05","XXX","N","195.015","200","E","0","0"
"2008-01-04 09:39:06","XXX","N","195.08","100","E","0","0"
"2008-01-04 09:39:08","XXX","N","195.03","600","E","0","0"
"2008-01-04 09:39:09","XXX","N","195.05","550","E","0","0"
"2008-01-04 09:39:10","XXX","N","194.985","3900","E","0","0"
"2008-01-04 09:39:11","XXX","N","194.99","150","E","0","0"
"2008-01-04 09:39:12","XXX","N","194.98","50","E","0","0"
"2008-01-04 09:39:15","XXX","N","194.98","450","E","0","0"
"2008-01-04 09:39:16","XXX","N","194.98","50","E","0","0"
"2008-01-04 09:39:17","XXX","N","194.98","200","E","0","0"
"2008-01-04 09:39:18","XXX","N","194.98","50","E","0","0"
"2008-01-04 09:39:20","XXX","N","195.03","200","E","0","0"
"2008-01-04 09:39:22","XXX","N","194.96","100","E","0","0"
"2008-01-04 09:39:25","XXX","N","194.92","200","E","0","0"
"2008-01-04 09:39:26","XXX","N","194.92","50","E","0","0"
"2008-01-04 09:39:28","XXX","N","194.92","50","E","0","0"
"2008-01-04 09:39:29","XXX","N","194.84","100","E","0","0"
"2008-01-04 09:39:31","XXX","N","194.8","800","E","0","0"
"2008-01-04 09:39:32","XXX","N","194.82","50","E","0","0"
"2008-01-04 09:39:33","XXX","N","194.77","250","E","0","0"
"2008-01-04 09:39:37","XXX","N","194.77","250","F","0","0"
"2008-01-04 09:39:39","XXX","N","194.82","300","E","0","0"
"2008-01-04 09:39:40","XXX","N","194.84","100","E","0","0"
"2008-01-04 09:39:52","XXX","N","194.8","1250","E","0","0"
"2008-01-04 09:39:53","XXX","N","194.77","100","E","0","0"
"2008-01-04 09:39:54","XXX","N","194.75","3200","E","0","0"
"2008-01-04 09:39:55","XXX","N","194.65","300","F","0","0"
"2008-01-04 09:39:56","XXX","N","194.63","150","F","0","0"
"2008-01-04 09:40:01","XXX","N","194.64","100","E","0","0"
"2008-01-04 09:40:07","XXX","N","194.67","550","E","0","0"
"2008-01-04 09:40:08","XXX","N","194.68","1500","E","0","0"
"2008-01-04 09:40:09","XXX","N","194.69","4250","E","0","0"
"2008-01-04 09:40:10","XXX","N","194.665","350","E","0","0"
"2008-01-04 09:40:12","XXX","N","194.61","50","E","0","0"
"2008-01-04 09:40:13","XXX","N","194.61","350","E","0","0"
"2008-01-04 09:40:15","XXX","N","194.67","150","E","0","0"
"2008-01-04 09:40:16","XXX","N","194.6","50","E","0","0"
"2008-01-04 09:40:17","XXX","N","194.65","150","E","0","0"
"2008-01-04 09:40:20","XXX","N","194.61","100","E","0","0"
"2008-01-04 09:40:21","XXX","N","194.6","50","F","0","0"
"2008-01-04 09:40:22","XXX","N","194.58","1000","E","0","0"
"2008-01-04 09:40:23","XXX","N","194.56","50","F","0","0"
"2008-01-04 09:40:24","XXX","N","194.56","200","F","0","0"
"2008-01-04 09:40:25","XXX","N","194.6","350","F","0","0"
"2008-01-04 09:40:35","XXX","N","194.7","50","E","0","0"
"2008-01-04 09:40:38","XXX","N","194.73","350","E","0","0"
"2008-01-04 09:40:39","XXX","N","194.73","100","E","0","0"
"2008-01-04 09:40:40","XXX","N","194.73","50","E","0","0"
"2008-01-04 09:40:41","XXX","N","194.7","300","E","0","0"
"2008-01-04 09:40:42","XXX","N","194.7","250","E","0","0"
"2008-01-04 09:40:46","XXX","N","194.7","250","E","0","0"
"2008-01-04 09:40:48","XXX","N","194.7","250","E","0","0"
"2008-01-04 09:40:49","XXX","N","194.7","450","E","0","0"
"2008-01-04 09:40:50","XXX","N","194.72","250","E","0","0"
"2008-01-04 09:40:51","XXX","N","194.685","300","E","0","0"
"2008-01-04 09:40:52","XXX","N","194.65","1350","F","0","0"
"2008-01-04 09:40:53","XXX","N","194.6","150","E","0","0"
"2008-01-04 09:40:54","XXX","N","194.58","50","F","0","0"
"2008-01-04 09:40:57","XXX","N","194.59","300","E","0","0"
"2008-01-04 09:41:00","XXX","N","194.51","700","E","0","0"
"2008-01-04 09:41:01","XXX","N","194.58","250","E","0","0"
"2008-01-04 09:41:02","XXX","N","194.56","700","E","0","0"
"2008-01-04 09:41:03","XXX","N","194.51","850","E","0","0"
"2008-01-04 09:41:04","XXX","N","194.51","100","E","0","0"
"2008-01-04 09:41:05","XXX","N","194.51","100","E","0","0"
"2008-01-04 09:41:06","XXX","N","194.49","150","E","0","0"
"2008-01-04 09:41:09","XXX","N","194.46","450","E","0","0"
"2008-01-04 09:41:11","XXX","N","194.46","50","E","0","0"
"2008-01-04 09:41:12","XXX","N","194.46","500","E","0","0"
"2008-01-04 09:41:13","XXX","N","194.44","400","E","0","0"
"2008-01-04 09:41:15","XXX","N","194.42","2050","E","0","0"
"2008-01-04 09:41:16","XXX","N","194.41","100","E","0","0"
"2008-01-04 09:41:17","XXX","N","194.41","150","E","0","0"
"2008-01-04 09:41:20","XXX","N","194.37","150","E","0","0"
"2008-01-04 09:41:22","XXX","N","194.25","1950","E","0","0"
"2008-01-04 09:41:23","XXX","N","194.2","700","E","0","0"
"2008-01-04 09:41:24","XXX","N","194.2","650","E","0","0"
"2008-01-04 09:41:25","XXX","N","194.16","250","E","0","0"
"2008-01-04 09:41:26","XXX","N","194.13","200","E","0","0"
"2008-01-04 09:41:27","XXX","N","194.15","250","E","0","0"
"2008-01-04 09:41:31","XXX","N","194.27","50","E","0","0"
"2008-01-04 09:41:33","XXX","N","194.2","50","E","0","0"
"2008-01-04 09:41:34","XXX","N","194.18","100","E","0","0"
"2008-01-04 09:41:35","XXX","N","194.13","400","E","0","0"
"2008-01-04 09:41:41","XXX","N","194.07","100","E","0","0"
"2008-01-04 09:41:42","XXX","N","194.09","50","E","0","0"
"2008-01-04 09:41:45","XXX","N","193.99","150","E","0","0"
"2008-01-04 09:41:48","XXX","N","193.97","50","E","0","0"
"2008-01-04 09:41:49","XXX","N","194.05","150","E","0","0"
"2008-01-04 09:41:50","XXX","N","194.06","600","E","0","0"
"2008-01-04 09:41:52","XXX","N","194.08","1700","E","0","0"
"2008-01-04 09:41:53","XXX","N","194.095","500","E","0","0"
"2008-01-04 09:41:55","XXX","N","194.06","1600","E","0","0"
"2008-01-04 09:41:56","XXX","N","194.04","100","E","0","0"
"2008-01-04 09:42:02","XXX","N","194.085","100","E","0","0"
"2008-01-04 09:42:05","XXX","N","194.015","300","E","0","0"
"2008-01-04 09:42:06","XXX","N","194.025","200","E","0","0"
"2008-01-04 09:42:13","XXX","N","194.02","250","E","0","0"
"2008-01-04 09:42:14","XXX","N","194.02","50","E","0","0"
"2008-01-04 09:42:22","XXX","N","193.955","250","E","0","0"
"2008-01-04 09:42:25","XXX","N","193.92","50","E","0","0"
"2008-01-04 09:42:26","XXX","N","193.82","50","F","0","0"
"2008-01-04 09:42:28","XXX","N","193.87","200","E","0","0"
"2008-01-04 09:42:31","XXX","N","193.87","100","E","0","0"
"2008-01-04 09:42:41","XXX","N","193.89","50","E","0","0"
"2008-01-04 09:42:42","XXX","N","193.87","450","E","0","0"
"2008-01-04 09:42:48","XXX","N","193.8","50","E","0","0"
"2008-01-04 09:42:49","XXX","N","193.845","100","E","0","0"
"2008-01-04 09:42:50","XXX","N","193.87","200","E","0","0"
"2008-01-04 09:42:51","XXX","N","193.82","50","E","0","0"
"2008-01-04 09:42:53","XXX","N","193.87","350","E","0","0"
"2008-01-04 09:42:54","XXX","N","193.81","2400","E","0","0"
"2008-01-04 09:42:57","XXX","N","193.78","50","E","0","0"
"2008-01-04 09:43:06","XXX","N","193.76","50","E","0","0"
"2008-01-04 09:43:07","XXX","N","193.8","1200","E","0","0"
"2008-01-04 09:43:12","XXX","N","194.01","1400","E","0","0"
"2008-01-04 09:43:13","XXX","N","193.96","1050","E","0","0"
"2008-01-04 09:43:14","XXX","N","193.99","50","E","0","0"
"2008-01-04 09:43:15","XXX","N","193.91","1350","E","0","0"
"2008-01-04 09:43:22","XXX","N","194.135","150","E","0","0"
"2008-01-04 09:43:24","XXX","N","194.25","750","E","0","0"
"2008-01-04 09:43:25","XXX","N","194.275","300","F","0","0"
"2008-01-04 09:43:26","XXX","N","194.21","450","F","0","0"
"2008-01-04 09:43:28","XXX","N","194.05","400","E","0","0"
"2008-01-04 09:43:30","XXX","N","194.04","200","E","0","0"
"2008-01-04 09:43:31","XXX","N","194.08","300","E","0","0"
"2008-01-04 09:43:32","XXX","N","194.025","1350","E","0","0"
"2008-01-04 09:43:33","XXX","N","193.92","200","F","0","0"
"2008-01-04 09:43:35","XXX","N","193.99","100","E","0","0"
"2008-01-04 09:43:37","XXX","N","193.96","200","E","0","0"
"2008-01-04 09:43:38","XXX","N","193.92","150","E","0","0"
"2008-01-04 09:43:51","XXX","N","193.965","350","E","0","0"
"2008-01-04 09:43:52","XXX","N","193.85","250","E","0","0"
"2008-01-04 09:43:53","XXX","N","193.83","600","F","0","0"
"2008-01-04 09:43:54","XXX","N","193.82","200","E","0","0"
"2008-01-04 09:43:55","XXX","N","193.83","400","E","0","0"
"2008-01-04 09:43:57","XXX","N","193.73","500","E","0","0"
"2008-01-04 09:43:58","XXX","N","193.765","200","E","0","0"
"2008-01-04 09:43:59","XXX","N","193.685","150","E","0","0"
"2008-01-04 09:44:01","XXX","N","193.68","200","E","0","0"
